"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
50703825,-67.8,42.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata","2280","2021-09-01","2021-09-01",1,1,1,,,,"7406:227:478","POLYGON((-67.8 42.7,-67.9 42.7,-67.9 42.8,-67.8 42.8,-67.8 42.7))"
50703829,-67.8,42.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Prionace glauca","2280","2021-08-02","2021-08-02",1,1,1,,,,"7406:227:488","POLYGON((-67.8 42.8,-67.9 42.8,-67.9 42.9,-67.8 42.9,-67.8 42.8))"
50703827,-67.5,42.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Mola mola","2280","2021-09-01","2021-09-01",2,6,2,,,,"7406:227:485","POLYGON((-67.5 42.8,-67.6 42.8,-67.6 42.9,-67.5 42.9,-67.5 42.8))"
50703828,-67.6,42.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae","2280","2021-09-01","2021-09-01",1,1,1,,,,"7406:227:486","POLYGON((-67.6 42.8,-67.7 42.8,-67.7 42.9,-67.6 42.9,-67.6 42.8))"
50703824,-67.1,43.0,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",2,3,1,,,,"7406:227:391","POLYGON((-67.1 42.9,-67.2 42.9,-67.2 43,-67.1 43,-67.1 42.9))"
50703823,-67.1,42.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",2,2,1,,,,"7406:227:390","POLYGON((-67 42.9,-67.1 42.9,-67.1 43,-67 43,-67 42.9))"
50703822,-67.0,42.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",3,4,1,,,,"7406:227:380","POLYGON((-67 42.8,-67.1 42.8,-67.1 42.9,-67 42.9,-67 42.8))"
50703765,-66.7,42.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",3,3,1,,,,"7406:226:467","POLYGON((-66.7 42.6,-66.8 42.6,-66.8 42.7,-66.7 42.7,-66.7 42.6))"
50703766,-66.8,42.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",2,2,1,,,,"7406:226:478","POLYGON((-66.8 42.7,-66.9 42.7,-66.9 42.8,-66.8 42.8,-66.8 42.7))"
50703743,-66.3,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis","2280","2021-08-04","2021-08-04",4,140,1,,,,"7406:226:122","POLYGON((-66.2 42.2,-66.3 42.2,-66.3 42.3,-66.2 42.3,-66.2 42.2))"
50703745,-66.4,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",1,1,1,,,,"7406:226:133","POLYGON((-66.3 42.3,-66.4 42.3,-66.4 42.4,-66.3 42.4,-66.3 42.3))"
50703744,-66.3,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis","2280","2021-08-04","2021-08-04",1,60,1,,,,"7406:226:123","POLYGON((-66.3 42.2,-66.4 42.2,-66.4 42.3,-66.3 42.3,-66.3 42.2))"
50703746,-66.5,42.4,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",2,2,1,,,,"7406:226:144","POLYGON((-66.4 42.4,-66.5 42.4,-66.5 42.5,-66.4 42.5,-66.4 42.4))"
50703751,-66.6,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-08-04","2021-08-04",1,1,1,,,,"7406:226:215","POLYGON((-66.5 42.1,-66.6 42.1,-66.6 42.2,-66.5 42.2,-66.5 42.1))"
50703752,-66.7,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis","2280","2021-08-04","2021-08-04",1,1,1,,,,"7406:226:216","POLYGON((-66.6 42.1,-66.7 42.1,-66.7 42.2,-66.6 42.2,-66.6 42.1))"
50703756,-66.7,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera physalus;Carcharodon carcharias;Chondrichthyes;Mola mola","2280","2021-08-04","2021-08-17",5,5,4,,,,"7406:226:217","POLYGON((-66.7 42.1,-66.8 42.1,-66.8 42.2,-66.7 42.2,-66.7 42.1))"
50703764,-66.9,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Chondrichthyes;Delphinus delphis;Lagenorhynchus acutus","2280","2021-08-04","2021-08-17",14,787,4,,,,"7406:226:219","POLYGON((-66.9 42.1,-67 42.1,-67 42.2,-66.9 42.2,-66.9 42.1))"
50703759,-66.8,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Carcharodon carcharias;Chondrichthyes","2280","2021-08-04","2021-08-17",6,6,3,,,,"7406:226:218","POLYGON((-66.8 42.1,-66.9 42.1,-66.9 42.2,-66.8 42.2,-66.8 42.1))"
50703748,-66.7,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Perciformes","2280","2021-08-18","2021-08-18",3,3,2,,,,"7406:226:206","POLYGON((-66.6 42,-66.7 42,-66.7 42.1,-66.6 42.1,-66.6 42))"
50703750,-66.8,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Carcharodon carcharias;Chondrichthyes","2280","2021-08-17","2021-08-17",2,3,2,,,,"7406:226:207","POLYGON((-66.7 42,-66.8 42,-66.8 42.1,-66.7 42.1,-66.7 42))"
50703736,-66.5,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Prionace glauca","2280","2021-08-18","2021-08-18",1,1,1,,,,"7406:226:104","POLYGON((-66.4 42,-66.5 42,-66.5 42.1,-66.4 42.1,-66.4 42))"
50703742,-66.4,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata","2280","2021-08-04","2021-08-04",1,1,1,,,,"7406:226:114","POLYGON((-66.4 42.1,-66.5 42.1,-66.5 42.2,-66.4 42.2,-66.4 42.1))"
50703741,-66.3,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Balaenoptera physalus;Chondrichthyes;Mola mola","2280","2021-08-04","2021-08-18",4,5,4,,,,"7406:226:113","POLYGON((-66.3 42.1,-66.4 42.1,-66.4 42.2,-66.3 42.2,-66.3 42.1))"
50703737,-66.3,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes","2280","2021-08-18","2021-08-18",1,1,1,,,,"7406:226:112","POLYGON((-66.2 42.1,-66.3 42.1,-66.3 42.2,-66.2 42.2,-66.2 42.1))"
50703735,-66.0,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Cetorhinus maximus","2280","2021-08-18","2021-08-18",1,1,1,,,,"7406:226:100","POLYGON((-66 42,-66.1 42,-66.1 42.1,-66 42.1,-66 42))"
50703724,-65.3,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae","2280","2021-09-01","2021-09-01",1,5,1,,,,"7406:225:123","POLYGON((-65.3 42.2,-65.4 42.2,-65.4 42.3,-65.3 42.3,-65.3 42.2))"
50703727,-65.2,42.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Dermochelys coriacea","2280","2021-09-01","2021-09-01",1,1,1,,,,"7406:225:141","POLYGON((-65.1 42.4,-65.2 42.4,-65.2 42.5,-65.1 42.5,-65.1 42.4))"
